index,file_names,data_lens
352,sample352,137504
353,sample353,42504
354,sample354,176640
355,sample355,45776
356,sample356,150016
357,sample357,57456
358,sample358,41472
359,sample359,100864
360,sample360,52736
361,sample361,33936
362,sample362,65536
363,sample363,25080
364,sample364,54936
365,sample365,73736
366,sample366,61952
367,sample367,119296
368,sample368,17408
369,sample369,388608
370,sample370,419688
371,sample371,51584
372,sample372,82944
373,sample373,25032
374,sample374,58320
375,sample375,77784
376,sample376,1046016
377,sample377,886768
378,sample378,112128
379,sample379,407040
380,sample380,82944
381,sample381,67496
382,sample382,68696
383,sample383,37376
384,sample384,660568
385,sample385,397656
386,sample386,34240
387,sample387,288240
388,sample388,262656
389,sample389,23040
390,sample390,333704
391,sample391,39472
392,sample392,27136
393,sample393,1532608
394,sample394,126976
395,sample395,669224
396,sample396,42904
397,sample397,30720
398,sample398,271872
399,sample399,39144
400,sample400,83456
401,sample401,448000
402,sample402,696768
403,sample403,54216
404,sample404,49752
405,sample405,53760
406,sample406,54784
407,sample407,29184
408,sample408,42336
409,sample409,458432
410,sample410,1786880
411,sample411,104272
412,sample412,602200
413,sample413,512960
414,sample414,150984
415,sample415,86016
416,sample416,42432
417,sample417,1327200
418,sample418,47104
419,sample419,29696
420,sample420,110416
421,sample421,34816
422,sample422,37376
423,sample423,75264
424,sample424,545216
425,sample425,38600
426,sample426,76288
427,sample427,1116232
428,sample428,100352
429,sample429,126736
430,sample430,49448
431,sample431,362928
432,sample432,33800
433,sample433,131440
434,sample434,85952
435,sample435,40448
436,sample436,129624
437,sample437,1197707
438,sample438,58816
439,sample439,211320
440,sample440,90112
441,sample441,323952
442,sample442,59960
443,sample443,548952
444,sample444,83456
445,sample445,442560
446,sample446,34304
447,sample447,58432
448,sample448,22528
449,sample449,41472
450,sample450,112472
451,sample451,137168
452,sample452,40448
453,sample453,35328
454,sample454,30672
455,sample455,68608
456,sample456,31832
457,sample457,80384
458,sample458,125808
459,sample459,272696
460,sample460,156672
461,sample461,89088
462,sample462,56120
463,sample463,252912
464,sample464,105152
465,sample465,406976
466,sample466,23552
467,sample467,104024
468,sample468,80896
469,sample469,44016
470,sample470,82432
471,sample471,61440
472,sample472,49080
473,sample473,290304
474,sample474,52400
475,sample475,223744
476,sample476,16896
477,sample477,42464
478,sample478,40112
479,sample479,563200
480,sample480,159232
481,sample481,3285360
482,sample482,104128
483,sample483,33792
484,sample484,71008
485,sample485,572416
486,sample486,48128
487,sample487,25088
488,sample488,290544
489,sample489,43952
490,sample490,21504
491,sample491,34816
492,sample492,107520
493,sample493,354256
494,sample494,68096
495,sample495,460288
496,sample496,38720
497,sample497,59392
498,sample498,38912
499,sample499,52680
500,sample500,208576
501,sample501,474312
502,sample502,112584
503,sample503,70096
504,sample504,93384
505,sample505,63528
506,sample506,42200
507,sample507,39936
508,sample508,76200
509,sample509,56832
510,sample510,35272
511,sample511,313256
512,sample512,55776
513,sample513,180648
514,sample514,57680
515,sample515,571232
516,sample516,56176
517,sample517,16896
518,sample518,126484
519,sample519,38736
520,sample520,42176
521,sample521,87517
522,sample522,152008
523,sample523,56288
524,sample524,46592
525,sample525,348672
526,sample526,172544
527,sample527,327528
528,sample528,31744
529,sample529,56472
530,sample530,37376
531,sample531,208896
532,sample532,49664
533,sample533,40024
534,sample534,74056
535,sample535,65536
536,sample536,91648
537,sample537,251160
538,sample538,76232
539,sample539,66488
540,sample540,59288
541,sample541,20992
542,sample542,64328
543,sample543,82944
544,sample544,342528
545,sample545,84992
546,sample546,113752
547,sample547,152008
548,sample548,48640
549,sample549,177152
550,sample550,51552
551,sample551,44016
552,sample552,21504
553,sample553,108032
554,sample554,43392
555,sample555,34248
556,sample556,30640
557,sample557,109656
558,sample558,72432
559,sample559,47240
560,sample560,38912
561,sample561,71872
562,sample562,1422168
563,sample563,218112
564,sample564,421888
565,sample565,72952
566,sample566,686668
567,sample567,451760
568,sample568,187064
569,sample569,39649
570,sample570,549376
571,sample571,51200
572,sample572,169048
573,sample573,598872
574,sample574,82104
575,sample575,227328
576,sample576,970200
577,sample577,50208
578,sample578,39936
579,sample579,50104
580,sample580,110208
581,sample581,66560
582,sample582,63560
583,sample583,51824
584,sample584,52992
585,sample585,35842
586,sample586,22472
587,sample587,1255936
588,sample588,109656
589,sample589,41984
590,sample590,12800
591,sample591,54784
592,sample592,36864
593,sample593,52128
594,sample594,25088
595,sample595,651200
596,sample596,25600
597,sample597,43360
598,sample598,1326080
599,sample599,121528
600,sample600,1960128
601,sample601,160608
602,sample602,64424
603,sample603,46056
604,sample604,22016
605,sample605,18944
606,sample606,54864
607,sample607,58504
608,sample608,116736
609,sample609,83000
610,sample610,48296
611,sample611,26112
612,sample612,35328
613,sample613,54328
614,sample614,30208
615,sample615,130448
616,sample616,23040
617,sample617,159678
618,sample618,41984
619,sample619,94208
620,sample620,361408
621,sample621,79816
622,sample622,1551248
623,sample623,27056
624,sample624,52024
625,sample625,2945024
626,sample626,165888
627,sample627,60600
628,sample628,261048
629,sample629,23040
630,sample630,56760
631,sample631,138840
632,sample632,28160
633,sample633,86984
634,sample634,33792
635,sample635,23552
636,sample636,78536
637,sample637,167888
638,sample638,114264
639,sample639,19968
640,sample640,61264
641,sample641,65536
642,sample642,50016
643,sample643,19456
644,sample644,83448
645,sample645,106936
646,sample646,35664
647,sample647,85504
648,sample648,724400
649,sample649,53840
650,sample650,49432
651,sample651,160176
652,sample652,865880
